 ,genotype,time_off_food,bends,omega,tail_touch,food,additive,note,date,plate,transfer_technique
JB,N2,5,5,Y,N,OP50,,,2021-06-02,1,
JB,N2,5,6,Y,Y,OP50,,,2021-06-02,1,
JB,N2,5,2,Y,Y,OP50,,,2021-06-02,1,
JB,N2,5,6,Y,Y,OP50,,,2021-06-02,1,
JB,N2,5,3,Y,N,OP50,,,2021-06-02,1,
JB,N2,5,4,Y,Y,OP50,,,2021-06-02,1,
JB,N2,5,4,Y,Y,OP50,,,2021-06-02,1,
JB,N2,5,4,Y,Y,OP50,,,2021-06-02,1,
JB,N2,5,4,Y,Y,OP50,,,2021-06-02,1,
JB,cest-1.2,5,2,Y,N,OP50,,,2021-06-02,2,
JB,cest-1.2,5,4,Y,N,OP50,,,2021-06-02,2,
JB,cest-1.2,5,3,Y,N,OP50,,,2021-06-02,2,
JB,cest-1.2,5,4,Y,Y,OP50,,,2021-06-02,2,
JB,cest-1.2,5,4,Y,Y,OP50,,,2021-06-02,2,
JB,cest-1.2,5,6,Y,Y,OP50,,,2021-06-02,2,
JB,cest-1.2,5,3,Y,Y,OP50,,,2021-06-02,2,
JB,cest-1.2,5,5,Y,Y,OP50,,,2021-06-02,2,
JB,cest-1.2,5,4,Y,Y,OP50,,,2021-06-02,2,
JB,cest-1.2,5,3,Y,N,OP50,,,2021-06-02,2,
JB,N2,30,6,Y,Y,OP50,,,2021-06-02,1,
JB,N2,30,3,Y,Y,OP50,,,2021-06-02,1,
JB,N2,30,10,Y,Y,OP50,,,2021-06-02,1,
JB,N2,30,5,Y,Y,OP50,,,2021-06-02,1,
JB,N2,30,6,Y,Y,OP50,,,2021-06-02,1,
JB,N2,30,5,Y,Y,OP50,,,2021-06-02,1,
JB,N2,30,5,Y,N,OP50,,,2021-06-02,1,
JB,N2,30,6,Y,N,OP50,,,2021-06-02,1,
JB,N2,30,5,Y,N,OP50,,,2021-06-02,1,
JB,cest-1.2,30,5,Y,Y,OP50,,,2021-06-02,2,
JB,cest-1.2,30,5,Y,Y,OP50,,,2021-06-02,2,
JB,cest-1.2,30,2,Y,Y,OP50,,,2021-06-02,2,
JB,cest-1.2,30,4,Y,Y,OP50,,,2021-06-02,2,
JB,cest-1.2,30,3,Y,Y,OP50,,,2021-06-02,2,
JB,cest-1.2,30,5,Y,N,OP50,,,2021-06-02,2,
JB,cest-1.2,30,3,Y,N,OP50,,,2021-06-02,2,
JB,cest-1.2,30,7,Y,Y,OP50,,,2021-06-02,2,
JB,cest-1.2,30,8,Y,N,OP50,,,2021-06-02,2,
JB,cest-1.2,30,7,Y,Y,OP50,,,2021-06-02,2,
JB,cest-1.2,10,4,,Y,OP50,,animals young,2021-06-15,3,
JB,cest-1.2,10,5,,N,OP50,,animals young,2021-06-15,3,
JB,cest-1.2,10,2,,Y,OP50,,animals young,2021-06-15,3,
JB,cest-1.2,10,4,,N,OP50,,animals young,2021-06-15,3,
JB,cest-1.2,10,3,,Y,OP50,,animals young,2021-06-15,3,
JB,cest-1.2,10,5,,Y,OP50,,animals young,2021-06-15,3,
JB,cest-1.2,10,3,,Y,OP50,,animals young,2021-06-15,3,
JB,cest-1.2,10,3,,Y,OP50,,animals young,2021-06-15,3,
JB,cest-1.2,10,4,,Y,OP50,,animals young,2021-06-15,3,
